YearOfBirth,Number
1880,15
1881,17
1882,20
1883,10
1884,21
1885,11
1886,13
1887,18
1888,13
1889,9
1890,15
1891,10
1892,10
1893,16
1894,22
1895,14
1896,18
1897,10
1898,17
1899,12
1900,19
1901,21
1902,23
1903,18
1904,14
1905,29
1906,16
1907,21
1908,34
1909,39
1910,41
1911,47
1912,84
1913,114
1914,131
1915,173
1916,174
1917,190
1918,190
1919,191
1920,201
1921,219
1922,194
1923,209
1924,235
1925,202
1926,201
1927,248
1928,254
1929,237
1930,220
1931,209
1932,184
1933,188
1934,163
1935,178
1936,202
1937,172
1938,170
1939,153
1940,193
1941,206
1942,194
1943,199
1944,193
1945,164
1946,172
1947,237
1948,216
1949,265
1950,258
1951,245
1952,265
1953,274
1954,289
1955,333
1956,343
1957,387
1958,360
1959,449
1960,429
1961,550
1962,572
1963,581
1964,618
1965,623
1966,548
1967,643
1968,734
1969,865
1970,1245
1971,1579
1972,1919
1973,1983
1974,2234
1975,2430
1976,3303
1977,3348
1978,3131
1979,3235
1980,3495
1981,3376
1982,3367
1983,3266
1984,3321
1985,3209
1986,3042
1987,3076
1988,3116
1989,3036
1990,3694
1991,4413
1992,4334
1993,4373
1994,5536
1995,5713
1996,5897
1997,6402
1998,7066
1999,7369
2000,8677
2001,10913
2002,12052
2003,12516
2004,11551
2005,12750
2006,12530
2007,12898
2008,13019
2009,12805
2010,12859
2011,12324
2012,11538
2013,11202
2014,10881
2015,10782
